,-177.5,-172.5,-167.5,-162.5,-157.5,-152.5,-147.5,-142.5,-137.5,-132.5,-127.5,-122.5,-117.5,-112.5,-107.5,-102.5,-97.5,-92.5,-87.5,-82.5,-77.5,-72.5,-67.5,-62.5,-57.5,-52.5,-47.5,-42.5,-37.5,-32.5,-27.5,-22.5,-17.5,-12.5,-7.5,-2.5,2.5,7.5,12.5,17.5,22.5,27.5,32.5,37.5,42.5,47.5,52.5,57.5,62.5,67.5,72.5,77.5,82.5,87.5,92.5,97.5,102.5,107.5,112.5,117.5,122.5,127.5,132.5,137.5,142.5,147.5,152.5,157.5,162.5,167.5,172.5,177.5
-42.5,1.945419154,1.869342772,1.889435905,1.755320462,1.627613006,1.498229298,1.341239275,1.299145499,1.286169824,1.197551361,1.16578221,1.126348417,NA,NA,NA,NA,NA,NA,1.517262736,1.773806918,1.818165595,1.417364544,2.440920815,2.687424122,3.125424915,3.463882295,3.2732288,2.884501997,2.339142316,2.127410207,1.875939053,1.727668084,1.627422554,1.980685845,2.321137911,2.498659982,2.615530218,2.85027989,2.850166873,2.83155122,2.56584578,2.410314796,2.227986435,2.214048764,2.162214392,2.348381922,2.578902415,2.510818316,2.366972518,2.115231902,1.928029236,1.915291708,2.007971311,2.071200771,2.16653496,2.188696498,1.943660604,1.681036146,1.636449456,1.733162415,1.838782021,1.898570591,2.140772583,2.376869151,2.586466891,2.645770876,2.649415119,2.508314841,2.295328622,2.000450409,2.058491541,1.847912302
-37.5,2.062072237,2.041383152,2.049438112,1.988992178,1.95365378,1.952785448,1.987920789,1.729201835,1.665747588,1.640224998,1.478506414,1.547624498,1.599714216,NA,NA,NA,NA,NA,1.376382659,1.818235299,1.757493115,0.977119597,1.4683577,2.128807272,2.934406886,3.199217627,3.051190042,2.735680248,2.241575494,2.068047254,2.105500369,2.020956497,1.87999592,1.956175431,2.237165214,2.425398977,2.599593056,2.71729709,2.630206931,2.429317382,2.234944827,2.141141731,2.015608184,1.891429248,1.851802866,2.138993502,2.349808514,2.349103066,2.183618581,2.031405661,1.921247121,1.76684756,1.886341715,1.932568809,1.964034049,2.015748731,1.913906139,1.697099803,1.647552855,1.717770191,1.816540353,1.941862873,2.218347645,2.424797438,2.377612311,2.727297914,2.794286952,2.600753937,2.392766616,2.080391682,2.089474657,2.260571687
-32.5,2.162002948,2.122067649,2.024524766,2.012858017,2.117116843,2.156650146,2.120650035,2.2091805,1.935796719,1.988302845,1.793114449,1.738129645,1.70605532,1.615572087,1.460132763,NA,NA,NA,0.94767708,1.488570645,1.351434517,1.259766553,1.609859549,2.071432073,2.755078866,2.999424826,2.655040928,2.341152065,2.126401196,2.143040066,2.292219778,2.14168871,2.085026906,1.977995621,2.085930631,2.208370489,2.312824459,2.332287098,2.261109328,2.259904409,2.834653497,2.186497181,2.007206989,1.796663984,1.757776221,1.948953907,2.038246864,2.030225846,1.924193935,1.792072769,1.727312943,1.746876001,1.751933168,1.801004101,1.910430049,1.977958913,1.877459585,1.756469751,1.763151555,2.400183132,2.324717346,2.179675893,2.333861645,2.132196277,2.166259101,1.934246261,2.547342009,2.490738871,2.400884781,2.180750591,2.115739513,2.147807633
-27.5,2.207304849,2.110591356,2.144370118,1.978724148,1.91976555,1.949977174,NA,1.915556217,1.902297611,1.661017071,1.686554175,1.526528821,1.458785113,1.251701929,1.089944508,0.820178,NA,NA,0.736639988,1.250539664,1.223940194,1.28220728,1.814624811,2.105974864,2.372797579,3.331761857,2.740797674,2.244273285,2.115228414,2.144830662,2.217196522,2.10608552,1.937032179,1.692068938,1.763718266,1.858596973,1.972325257,2.014774929,2.095693466,2.670387656,3.254425532,3.32282707,2.323765548,1.755890638,1.679531236,1.677198988,1.533691036,1.436837178,1.392202783,1.34030289,1.466016284,1.559821882,1.501539048,1.629747447,1.794451882,1.875565551,1.85992205,1.787931038,1.808985297,2.661987477,2.782640537,3.296701129,3.125853765,2.893357044,2.311411953,1.693167871,2.209493532,2.413470473,2.34670462,2.190393422,2.041407049,2.07919484
-22.5,2.078932774,1.972745934,2.062822567,1.894250906,1.519706044,1.791814135,NA,1.556672436,1.44960023,1.323458433,1.202008533,1.073711024,0.911082184,0.846684253,0.705517473,0.630676365,0.575001369,0.551689869,1.062311697,1.425515626,1.524839277,1.687784566,2.023234237,2.882606542,2.99790887,3.585372687,4.137681224,3.283682491,2.262235459,2.277767229,2.364872637,2.125123446,1.908548529,1.8123037,1.859476787,1.909068454,1.94090012,2.103858162,2.570126719,2.501314945,2.617503502,1.5505468,2.292754746,1.928659965,1.897198656,1.808688978,1.461993638,1.362679215,1.334289552,1.211096526,1.383871715,1.330842087,1.356271612,1.478218171,1.604480626,1.728221631,1.778125363,1.721744981,1.812342895,2.209612527,3.56334386,3.069688475,3.177794973,3.242960385,2.895409504,2.171114008,2.185176948,2.247338393,2.269842123,2.076739476,2.051814176,1.979175849
-17.5,1.931598137,1.899121749,1.778355989,1.635897817,1.591627428,1.596944995,1.584750768,NA,1.33963609,1.327402329,1.178419754,0.986559208,0.858218175,0.820689509,0.766317592,0.704154984,0.697306001,1.149993677,1.649343147,1.902085994,1.996127801,1.842297048,1.457326932,2.287650038,2.564663465,3.91585613,3.999679402,4.028197864,2.53467528,2.287529085,2.27940847,2.204862047,2.106494304,2.13111952,2.210125364,2.247048134,2.274881555,2.913389583,3.199072936,2.576002228,2.331962705,1.675089213,1.840936848,1.915881714,1.935455638,2.052084485,1.519635271,1.401870539,1.456197149,1.352280938,1.355026917,1.2881862,1.368397437,1.522598761,1.530940409,1.675438007,1.639187268,1.696711331,1.717457259,1.61842691,2.054502279,2.685878624,2.43640879,2.584216456,1.536863433,2.221919793,2.218098521,2.227572552,2.153793915,1.986634693,1.988037589,2.180269505
-12.5,1.8669973,1.706955941,1.646525972,1.496407152,1.376950555,1.342961196,1.429279507,NA,1.180718763,1.169815223,1.03521227,1.007365103,1.024354869,1.09520086,0.974213277,0.938589006,1.039455791,1.522209808,1.847468393,2.131709453,1.944218549,1.428807838,1.891035635,NA,NA,4.008177131,3.499289271,3.80684089,2.60317929,2.149441227,2.108221083,2.091629838,2.169314738,2.256245346,2.414356014,2.562156399,2.692122084,3.361170844,3.729992799,2.628422541,2.305085204,2.104611649,2.165403511,2.197328532,1.89503856,1.821444862,1.759460308,1.675132259,1.687963508,1.733280174,1.703614959,1.657241377,1.672763863,1.745538103,1.785658834,1.781300105,1.828749313,1.760914909,1.715044542,1.575890578,1.65299894,1.786684947,2.011649009,2.043168776,2.117474619,2.337351317,2.344547666,2.293934642,2.158942544,2.130174808,1.97342563,1.983524136
-7.5,1.601988962,1.640037098,1.541044553,1.365763207,1.34211522,NA,NA,NA,1.210706188,1.3721017,1.281779045,1.244553739,1.207812803,1.219707876,1.34281299,1.305980456,1.369252472,1.592780092,1.776496567,1.965802046,1.815560803,1.992999452,1.942154909,NA,NA,3.301824124,3.154259373,3.22511779,3.231563895,2.100681478,1.959293229,2.028037927,2.139391907,2.343911678,2.465046074,2.61958641,2.782983189,3.138938039,3.304489132,2.847047063,2.513099831,2.301957691,2.040935059,2.538669731,1.934384476,1.901116909,1.939718555,2.042774903,2.131374813,2.122159258,1.993652521,1.91058772,1.917376729,2.009922426,2.030744657,1.979227916,1.879025267,1.783074654,1.696687641,1.669478269,1.696471821,1.822246308,1.929393912,2.023302775,2.073297156,2.210697729,2.332661156,2.207384364,2.068241522,1.988185904,1.774176827,1.763055156
-2.5,1.701972094,1.468245302,1.372144462,1.275134118,1.25544872,1.032003748,NA,NA,1.350990325,1.121517694,1.244404665,1.282564906,1.123409964,1.048285339,1.065503221,1.015184733,1.145030385,1.308254478,1.380823356,1.629400849,2.172527547,1.98440392,2.208583195,3.096802352,2.912357354,2.971180518,2.830305078,2.182452599,1.964591541,1.898695736,1.971571052,2.086779583,2.202445883,2.257404622,2.331754071,2.536941451,2.743657852,2.946241129,2.946706067,2.692139747,2.779128969,2.655219852,2.166889514,2.842313409,2.195377256,2.094726487,2.167877103,2.35138589,2.477351724,2.45902979,2.324134152,2.193828733,2.131158421,2.082957463,1.986018258,1.848805944,1.854665321,1.707100777,1.796746233,1.768665832,1.811331353,1.900363743,1.976463735,2.026978456,2.051650405,2.16540353,2.139865409,2.118652246,2.025222872,1.664627046,1.686573016,1.710003864
2.5,1.752676108,1.548741667,1.425489619,1.301922162,1.211363849,NA,NA,NA,1.054294671,0.933144171,1.01139761,1.208552955,1.159922093,0.960107049,0.898948903,1.014991509,1.178974238,1.270089159,1.300180327,1.506244638,1.925346294,2.234343145,2.404495211,2.714179469,2.746961383,2.49490811,1.517898043,1.671161301,1.883237622,2.04693259,2.181499034,2.328100357,2.375338548,2.448640897,2.489992526,2.637895975,2.849720678,2.978989121,2.583267225,2.771759454,2.647050075,2.678572049,2.293475751,2.631205604,2.552778705,2.259201878,2.211946688,2.375253427,2.484155001,2.470100469,2.358384515,2.20969372,2.124882047,2.05100235,1.94245871,1.891849823,1.917963211,1.639385173,1.854978225,1.87119588,1.797866793,1.921778979,1.91273855,1.988096414,2.104261886,2.145648902,2.055068285,1.981881764,2.129674006,1.855248569,1.734986884,NA
