Latitude,Longitude,Value,Value_Celsius
-67.5,-62.5,1.357868575,0.7543714305555554
-62.5,-77.5,1.233206867,0.6851149261111111
-62.5,-72.5,1.107758633,0.6154214627777778
-62.5,-67.5,0.956245009,0.5312472272222223
-62.5,-62.5,0.716527234,0.3980706855555555
-62.5,-42.5,3.577278663,1.987377035
-57.5,-82.5,0.940206623,0.5223370127777778
-57.5,-77.5,0.92755541,0.515308561111111
-57.5,-72.5,0.84415092,0.46897273333333334
-57.5,-67.5,0.804713094,0.44706283
-57.5,-62.5,0.94389896,0.5243883111111111
-57.5,-57.5,0.919397988,0.51077666
-57.5,-52.5,1.260841467,0.7004674816666667
-57.5,-47.5,1.251764955,0.6954249750000001
-57.5,167.5,0.891690949,0.49538386055555556
-57.5,177.5,1.084504798,0.6025026655555555
-52.5,-177.5,1.118789943,0.6215499683333332
-52.5,-172.5,1.168660351,0.6492557505555555
-52.5,-167.5,1.064608043,0.5914489127777778
-52.5,-162.5,0.932541002,0.5180783344444444
-52.5,-157.5,0.889046184,0.4939145466666667
-52.5,-152.5,0.696335726,0.3868531811111111
-52.5,-147.5,0.529519009,0.2941772272222222
-52.5,-82.5,0.952761433,0.5293119072222222
-52.5,-77.5,0.856567832,0.4758710177777778
-52.5,-72.5,0.530858066,0.2949211477777778
-52.5,-67.5,0.893106382,0.49617021222222224
-52.5,-62.5,1.429427679,0.7941264883333333
-52.5,-57.5,1.421669398,0.7898163322222221
-52.5,-52.5,2.006123944,1.1145133022222222
-52.5,-47.5,2.305981583,1.2811008794444443
-52.5,-42.5,2.098236461,1.1656869227777777
-52.5,-37.5,0.967055355,0.5372529749999999
-52.5,47.5,3.091707184,1.7176151022222224
-52.5,52.5,3.03331394,1.685174411111111
-52.5,57.5,2.671700898,1.484278276666667
-52.5,62.5,2.341353203,1.3007517794444445
-52.5,67.5,2.087223908,1.1595688377777778
-52.5,72.5,1.906520484,1.0591780466666667
-52.5,77.5,1.859451359,1.0330285327777777
-52.5,82.5,1.8397020610000001,1.0220567005555556
-52.5,87.5,1.958187598,1.0878819988888888
-52.5,92.5,1.959665199,1.0887028883333334
-52.5,97.5,1.976607282,1.0981151566666667
-52.5,102.5,1.913205453,1.0628919183333334
-52.5,107.5,1.844801153,1.0248895294444444
-52.5,112.5,1.819521814,1.0108454522222223
-52.5,137.5,1.72893684,0.9605204666666667
-52.5,147.5,1.590155823,0.8834199016666666
-52.5,152.5,1.554650709,0.8636948383333333
-52.5,157.5,1.67685431,0.9315857277777777
-52.5,162.5,1.674913463,0.9305074794444445
-52.5,167.5,1.527028461,0.848349145
-52.5,172.5,1.255811907,0.6976732816666666
-52.5,177.5,1.191543409,0.6619685605555556
-47.5,-177.5,1.472504774,0.8180582077777777
-47.5,-172.5,1.545747944,0.8587488577777778
-47.5,-167.5,1.516053364,0.8422518688888889
-47.5,-162.5,1.410090241,0.7833834672222222
-47.5,-157.5,1.284747334,0.7137485188888889
-47.5,-152.5,1.096831091,0.6093506061111111
-47.5,-147.5,1.157862135,0.6432567416666667
-47.5,-142.5,0.982041979,0.5455788772222223
-47.5,-137.5,0.596896847,0.3316093594444445
-47.5,-132.5,0.508333437,0.282407465
-47.5,-87.5,1.276024792,0.7089026622222223
-47.5,-82.5,1.314578323,0.7303212905555556
-47.5,-77.5,1.292177108,0.717876171111111
-47.5,-72.5,1.180764833,0.6559804627777778
-47.5,-67.5,1.32610059,0.7367225500000001
-47.5,-62.5,2.08996714,1.1610928555555557
-47.5,-57.5,2.393974864,1.3299860355555557
-47.5,-52.5,2.706370541,1.5035391894444445
-47.5,-47.5,2.964569761,1.6469832005555556
-47.5,-42.5,2.689331581,1.4940731005555554
-47.5,-37.5,2.192316549,1.2179536383333334
-47.5,-32.5,1.904369424,1.0579830133333334
-47.5,22.5,2.690432196,1.4946845533333333
-47.5,27.5,2.570240108,1.4279111711111112
-47.5,32.5,2.465775277,1.369875153888889
-47.5,37.5,2.293581745,1.2742120805555557
-47.5,42.5,2.472382763,1.3735459794444447
-47.5,47.5,2.640106586,1.466725881111111
-47.5,52.5,2.4400526830000002,1.355584823888889
-47.5,57.5,2.517475734,1.39859763
